City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
203,saint-pierre,0,FR,1530727200,42,48.95,4.24,82.4,6.93
204,dabat,68,ET,1530727691,100,12.98,37.77,58.17,0.85
205,isla del bosque,75,MX,1530722400,70,22.73,-105.85,87.8,6.93
206,borogontsy,76,RU,1530727692,49,62.67,131.17,72.75,10.8
207,nuuk,75,GL,1530726600,70,64.17,-51.74,48.2,2.24
208,isangel,92,VU,1530727692,100,-19.55,169.27,71.4,22.55
209,putat,20,ID,1530727692,88,-7.68,111.51,67.98,5.21
210,nome,90,US,1530726900,94,30.04,-94.42,75.2,9.46
211,korsakov,75,RU,1530723600,87,46.63,142.78,50.0,11.18
212,romanshorn,0,CH,1530724800,53,47.57,9.38,82.4,2.24
